X,Y
947.5951904,2.78E-05
950.5811623,2.77E-05
953.5671343,2.75E-05
956.5531062,2.73E-05
959.5390782,2.72E-05
962.5250501,2.70E-05
965.511022,2.68E-05
968.496994,2.67E-05
971.4829659,2.65E-05
974.4689379,2.63E-05
977.4549098,2.62E-05
980.4408818,2.60E-05
983.4268537,2.58E-05
986.4128257,2.57E-05
989.3987976,2.55E-05
992.3847695,2.54E-05
995.3707415,2.52E-05
998.3567134,2.51E-05
1001.342685,2.49E-05
1004.328657,2.48E-05
1007.314629,2.46E-05
1010.300601,2.45E-05
1013.286573,2.43E-05
1016.272545,2.42E-05
1019.258517,2.41E-05
1022.244489,2.39E-05
1025.230461,2.38E-05
1028.216433,2.36E-05
1031.202405,2.35E-05
1034.188377,2.34E-05
1037.174349,2.32E-05
1040.160321,2.31E-05
1043.146293,2.30E-05
1046.132265,2.28E-05
1049.118236,2.27E-05
1052.104208,2.26E-05
1055.09018,2.25E-05
1058.076152,2.23E-05
1061.062124,2.22E-05
1064.048096,2.21E-05
1067.034068,2.20E-05
1070.02004,2.18E-05
1073.006012,2.17E-05
1075.991984,2.16E-05
1078.977956,2.15E-05
1081.963928,2.14E-05
1084.9499,2.12E-05
1087.935872,2.11E-05
1090.921844,2.10E-05
1093.907816,2.09E-05
1096.893788,2.08E-05
1099.87976,2.07E-05
1102.865731,2.06E-05
1105.851703,2.04E-05
1108.837675,2.03E-05
1111.823647,2.02E-05
1114.809619,2.01E-05
1117.795591,2.00E-05
1120.781563,1.99E-05
1123.767535,1.98E-05
1126.753507,1.97E-05
1129.739479,1.96E-05
1132.725451,1.95E-05
1135.711423,1.94E-05
1138.697395,1.93E-05
1141.683367,1.92E-05
1144.669339,1.91E-05
1147.655311,1.90E-05
1150.641283,1.89E-05
1153.627255,1.88E-05
1156.613226,1.87E-05
1159.599198,1.86E-05
1162.58517,1.85E-05
1165.571142,1.84E-05
1168.557114,1.83E-05
1171.543086,1.82E-05
1174.529058,1.81E-05
1177.51503,1.80E-05
1180.501002,1.79E-05
1183.486974,1.78E-05
1186.472946,1.78E-05
1189.458918,1.77E-05
1192.44489,1.76E-05
1195.430862,1.75E-05
1198.416834,1.74E-05
1201.402806,1.73E-05
1204.388778,1.72E-05
1207.374749,1.71E-05
1210.360721,1.71E-05
1213.346693,1.70E-05
1216.332665,1.69E-05
1219.318637,1.68E-05
1222.304609,1.67E-05
1225.290581,1.67E-05
1228.276553,1.66E-05
1231.262525,1.65E-05
1234.248497,1.64E-05
1237.234469,1.63E-05
1240.220441,1.63E-05
1243.206413,1.62E-05
1246.192385,1.61E-05
1249.178357,1.60E-05
1252.164329,1.59E-05
1255.150301,1.59E-05
1258.136273,1.58E-05
1261.122244,1.57E-05
1264.108216,1.56E-05
1267.094188,1.56E-05
1270.08016,1.55E-05
1273.066132,1.54E-05
1276.052104,1.54E-05
1279.038076,1.53E-05
1282.024048,1.52E-05
1285.01002,1.51E-05
1287.995992,1.51E-05
1290.981964,1.50E-05
1293.967936,1.49E-05
1296.953908,1.49E-05
1299.93988,1.48E-05
1302.925852,1.47E-05
1305.911824,1.47E-05
1308.897796,1.46E-05
1311.883768,1.45E-05
1314.869739,1.45E-05
1317.855711,1.44E-05
1320.841683,1.43E-05
1323.827655,1.43E-05
1326.813627,1.42E-05
1329.799599,1.41E-05
1332.785571,1.41E-05
1335.771543,1.40E-05
1338.757515,1.39E-05
1341.743487,1.39E-05
1344.729459,1.38E-05
1347.715431,1.38E-05
1350.701403,1.37E-05
1353.687375,1.36E-05
1356.673347,1.36E-05
1359.659319,1.35E-05
1362.645291,1.35E-05
1365.631263,1.34E-05
1368.617234,1.33E-05
1371.603206,1.33E-05
1374.589178,1.32E-05
1377.57515,1.32E-05
1380.561122,1.31E-05
1383.547094,1.31E-05
1386.533066,1.30E-05
1389.519038,1.29E-05
1392.50501,1.29E-05
1395.490982,1.28E-05
1398.476954,1.28E-05
1401.462926,1.27E-05
1404.448898,1.27E-05
1407.43487,1.26E-05
1410.420842,1.26E-05
1413.406814,1.25E-05
1416.392786,1.25E-05
1419.378758,1.24E-05
1422.364729,1.24E-05
1425.350701,1.23E-05
1428.336673,1.23E-05
1431.322645,1.22E-05
1434.308617,1.22E-05
1437.294589,1.21E-05
1440.280561,1.21E-05
1443.266533,1.20E-05
1446.252505,1.20E-05
1449.238477,1.19E-05
1452.224449,1.19E-05
1455.210421,1.18E-05
1458.196393,1.18E-05
1461.182365,1.17E-05
1464.168337,1.17E-05
1467.154309,1.16E-05
1470.140281,1.16E-05
1473.126253,1.15E-05
1476.112224,1.15E-05
1479.098196,1.14E-05
1482.084168,1.14E-05
1485.07014,1.13E-05
1488.056112,1.13E-05
1491.042084,1.12E-05
1494.028056,1.12E-05
1497.014028,1.12E-05
1500,1.11E-05
